Startup,Industry,SubVertical,City,Investors,InvestmentType,Date,InvestmentAmount
SmartTech,Retail,Fashion,Noida,"Blume Ventures, Sequoia Capital India",Series A,2021-04-19,138.83336
MediWorks,HealthTech,Telemedicine,Hyderabad,"Falcon Edge, Kalaari Capital, Omidyar Network",Series C,2021-12-24,287.93648
CRED,E-commerce,Grocery,Hyderabad,"Tiger Global Management, Y Combinator",Series B,2023-02-19,248.73512
SkillSolutions,EdTech,Coding Bootcamp,Chennai,Kalaari Capital,Series A,2021-06-18,26.8719
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,2024-07-02,17.1482
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,2024-03-31,1874.14498
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global Management",Seed,2020-05-18,10.55716
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,2023-12-06,34.08564
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,2025-03-22,2.21298
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,2023-10-31,1.31246
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,2024-09-05,0.59396
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,2023-10-16,0.64186
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,2022-10-05,86.57446
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,2024-06-24,19.14084
AeroAnalytics,Enterprise,Automation,Delhi,"Falcon Edge, Sequoia Capital India, SoftBank Vision Fund",Series A,2020-09-03,142.39712
FarmTech,E-commerce,D2C,Pune,A91 Partners,Series A,2021-06-15,43.11
FinSpace,AgriTech,Smart Farming,Pune,Kalaari Capital,Seed,2022-05-18,8.17174
NimbusWorks,FoodTech,Food Delivery,Kolkata,"Prosus Ventures, Zodius Capital",Seed,2020-09-25,15.62498
SkillFlow,Mobility,EV,Chennai,"Bessemer Venture Partners, Blume Ventures, Nexus Venture Partners",Seed,2024-06-26,11.00742
Chargebee,HealthTech,Pharmacy,Kolkata,"Accel, Tiger Global",Seed,2023-02-25,1.1975
BharatPe,FinTech,Lending,Hyderabad,Info Edge,Series A,2023-07-13,32.45704
WorkStack,SaaS,HRTech,Pune,IFC,Pre-Seed,2020-09-05,0.25866
BlueRise,RealEstate,Rental Tech,Noida,Y Combinator,Seed,2024-05-17,16.17104
Myntra,Retail,Fashion,Kolkata,"Elevation Capital, Ribbit Capital",Private Equity,2022-02-19,3868.48064
GreenConnect,RealEstate,Home Services,Chennai,"IFC, Tiger Global",Series B,2023-03-16,90.2915
BharatPe,SaaS,DevTools,Pune,"Elevation Capital, Matrix Partners India, Ribbit Capital",Seed,2021-08-19,5.70968
Ola,Retail,Grocery,Ahmedabad,"Blume Ventures, IFC",Series A,2022-07-11,51.09014
FreshSolutions,RealEstate,Home Services,Mumbai,Accel,Seed,2022-03-24,1.79146
FarmBox,FinTech,InsurTech,Noida,Matrix Partners India,Series C,2020-06-19,260.58558
HyperLoop,FoodTech,Food Delivery,Gurugram,"Nexus Venture Partners, Ribbit Capital",Seed,2021-08-04,5.7001
Lenskart,FinTech,Payments,Pune,"IFC, Mirae Asset",Growth,2021-10-28,1890.92914
SkillFlow,HealthTech,Diagnostics,Ahmedabad,"A91 Partners, Falcon Edge, Ribbit Capital",Series A,2023-07-16,77.56926
FreshTech,Consumer Electronics,Smart Home,Gurugram,Y Combinator,Series C,2022-06-23,783.71106
Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,2024-07-27,1.36036
CoreSpace,Media,Content,Kolkata,"Bessemer Venture Partners, Omidyar Network",Seed,2024-04-17,3.66914
MediHive,EdTech,Coding Bootcamp,Noida,Kedaara Capital,Series A,2021-05-26,43.76144
UrbanDrive,EdTech,UpSkilling,Mumbai,"LCatterton, Ventures India",Pre-Series A,2021-05-05,7.21374
SkillFlow,Media,Streaming,Hyderabad,Blume Ventures,Pre-Series A,2024-10-13,2.42374
Cars24,E-commerce,Fashion,Ahmedabad,"Mirae Asset, SoftBank Vision Fund",Series A,2023-12-05,13.77604
WorkPay,Mobility,Ride Sharing,Delhi,Nexus Venture Partners,Bridge,2021-07-31,0.53648
Dailyhunt,Media,Social,Gurugram,"Kalaari Capital, Lightspeed India",Seed,2020-01-31,7.7598
Chargebee,SaaS,MarTech,Bengaluru,Tiger Global,Seed,2024-09-23,4.72294
DriveFit,Consumer Electronics,Audio,Gurugram,"Nexus Venture Partners, Zodius Capital",Angel,2021-05-27,0.39278
LogiMart,Consumer Electronics,Audio,Bengaluru,Falcon Edge,Seed,2024-02-14,1.0538
FarmTech,RealEstate,Home Services,Pune,Ventures India,Seed,2024-01-31,0.79514
NeoTech,RealEstate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,2020-04-16,0.98674
NeoSense,Retail,Grocery,Ahmedabad,Sequoia Capital India,Seed,2024-06-04,1.74356
Razorpay,AgriTech,Marketplace,Kolkata,Bessemer Venture Partners,Series B,2020-11-13,245.85154
LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,2024-04-04,0.15328
AeroStack,EdTech,UpSkilling,Noida,Bessemer Venture Partners,Series C,2024-03-29,626.47452
Dailyhunt,Media,Social,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series B,2022-01-03,587.56056
Dailyhunt,Mobility,EV,Noida,"Blume Ventures, Y Combinator",Series B,2021-01-23,125.79498
InMobi,Logistics,Fleet Management,Noida,Info Edge,Seed,2022-12-23,3.19014
CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,2023-07-30,1.16876
PhonePe,AgriTech,Smart Farming,Ahmedabad,Prosus Ventures,Seed,2024-01-16,2.06928
UrbanDrive,RealEstate,Home Services,Noida,Kalaari Capital,Seed,2021-08-02,4.75168
AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,2025-04-04,1.39868
GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,2023-08-07,1.70524
CloudSolutions,EdTech,Test Prep,Bengaluru,"Accel, LCatterton, Mirae Asset",Angel,2021-03-03,0.07664
HealthWorks,Media,Content,Pune,"Matrix Partners India, Tiger Global",Series C,2020-04-29,2355.84654
Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,2025-05-21,2.94106
AeroHub,Mobility,Micro Mobility,Gurugram,A91 Partners,Series A,2025-04-24,19.27496
SkillRise,Retail,Fashion,Ahmedabad,"Blume Ventures, IFC, Prosus Ventures",Pre-Series A,2022-07-28,2.75904
BlueTech,Mobility,EV,Delhi,"LCatterton, Peak XV",Series A,2023-05-13,136.1318
NeoSense,FoodTech,Grocery,Chennai,"A91 Partners, Matrix Partners India",Series C,2021-10-24,727.38066
UrbanSolutions,Media,Content,Pune,Sequoia Capital India,Bridge,2022-07-05,1.60944
HealthAnalytics,Mobility,Ride Sharing,Hyderabad,IFC,Pre-Seed,2021-03-30,0.82388
DataAnalytics,Media,Content,Noida,"Blume Ventures, Sequoia Capital India",Series A,2023-03-14,18.35528
Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,2023-04-07,1.14002
Delhivery,E-commerce,Grocery,Chennai,"Accel, Mirae Asset, SoftBank Vision Fund",Series A,2021-03-21,13.58444
Myntra,Enterprise,Automation,Ahmedabad,"Ribbit Capital, Sequoia Capital India",Series C,2020-07-14,271.00862
QuantumAnalytics,FinTech,WealthTech,Pune,"Nexus Venture Partners, Peak XV",Growth,2022-06-08,715.21406
HomeFoods,Enterprise,Automation,Bengaluru,"Falcon Edge, Tiger Global",Series B,2023-07-18,70.38426
FoodLoop,HealthTech,Pharmacy,Noida,Prosus Ventures,Series B,2020-11-09,283.15606
DriveFit,Retail,Fashion,Ahmedabad,"Elevation Capital, Kalaari Capital",Series A,2021-03-30,15.67288
LogiSense,Consumer Electronics,Smart Home,Bengaluru,Kalaari Capital,Series A,2021-06-21,24.429
DriveEdge,HealthTech,Diagnostics,Kolkata,"Lightspeed India, Ribbit Capital",Series A,2022-09-26,108.65636
LogiMart,Logistics,Supply Chain,Pune,Accel,Series B,2023-03-25,178.25506
Flipkart,FoodTech,Food Delivery,Pune,"Bessemer Venture Partners, Prosus Ventures",Seed,2021-12-06,5.62346
Lenskart,SaaS,MarTech,Ahmedabad,Lightspeed India,Seed,2020-04-01,0.90052
NimbusWorks,Media,Social,Mumbai,"IFC, Peak XV",Series B,2021-05-12,81.63118
SmartTech,Media,Social,Hyderabad,Lightspeed India,Series A,2020-02-16,10.70086
Meesho,EdTech,UpSkilling,Noida,Kedaara Capital,Series A,2024-02-03,15.1364
PhonePe,FoodTech,Grocery,Noida,Elevation Capital,Pre-Seed,2020-12-14,0.36404
SkillFlow,RealEstate,PropTech,Mumbai,"IFC, Prosus Ventures",Pre-Series A,2021-07-09,1.437
PhonePe,Logistics,Fleet Management,Chennai,"Accel, Tiger Global Management",Seed,2022-02-18,0.66102
HyperLabs,AgriTech,Marketplace,Mumbai,"A91 Partners, Kedaara Capital",Seed,2022-10-22,0.74724
Razorpay,EdTech,UpSkilling,Pune,Sequoia Capital India,Series A,2024-03-04,33.36714
AgriFit,Logistics,Last Mile,Noida,"Kalaari Capital, Matrix Partners India, Tiger Global Management",Seed,2020-05-06,1.02506
ClearTax,Mobility,EV,Gurugram,"Accel, Prosus Ventures",Seed,2025-01-11,1.83936
QuantumAnalytics,RealEstate,Rental Tech,Gurugram,Info Edge,Pre-Series A,2023-03-19,3.05602
FreshTech,SaaS,MarTech,Noida,Omidyar Network,Seed,2023-08-29,6.11204
CloudPay,Logistics,Fleet Management,Noida,Prosus Ventures,Angel,2022-05-30,0.05748
NextSense,Mobility,Micro Mobility,Mumbai,Kedaara Capital,Seed,2024-09-15,9.13932
FoodLoop,FoodTech,Food Delivery,Hyderabad,"Bessemer Venture Partners, Elevation Capital, Peak XV",Series A,2025-03-27,52.46008
AeroStack,FinTech,NeoBank,Ahmedabad,Matrix Partners India,Seed,2023-03-07,0.65144
GrowthFlow,Media,Content,Delhi,"Kedaara Capital, Y Combinator",Series A,2023-05-23,102.03658
UrbanDrive,HealthTech,Diagnostics,Gurugram,Peak XV,Seed,2022-04-16,14.31252
Flipkart,EdTech,K12,Gurugram,"IFC, Mirae Asset",Seed,2025-03-13,0.60354
NeoSense,EdTech,Coding Bootcamp,Chennai,"Kalaari Capital, Kedaara Capital, Zodius Capital",Series C,2023-05-30,405.53098
GrowthConnect,Consumer Electronics,Wearables,Bengaluru,"Falcon Edge, Tiger Global Management",Growth,2021-05-18,4021.1092
Razorpay,Mobility,EV,Noida,Blume Ventures,Series C,2025-05-25,1453.50634
Dailyhunt,FoodTech,Food Delivery,Hyderabad,Omidyar Network,Series A,2022-05-15,15.78784
Udaan,Media,Streaming,Delhi,"Accel, Falcon Edge",Series A,2023-08-16,16.88954
BlueTech,Media,Streaming,Delhi,"Info Edge, Sequoia Capital India",Pre-Series A,2021-10-24,2.2513
CloudPay,E-commerce,D2C,Pune,"Bessemer Venture Partners, Kedaara Capital, Nexus Venture Partners",Series B,2025-01-31,183.5528
Porter,Media,Content,Pune,"Kedaara Capital, Tiger Global Management",Seed,2023-12-19,4.68462
NextSense,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, IFC, Nexus Venture Partners",Angel,2023-03-04,0.1437
Udaan,FoodTech,Food Delivery,Hyderabad,"Blume Ventures, Elevation Capital",Series B,2025-05-22,172.69866
LogiSense,FinTech,NeoBank,Hyderabad,"A91 Partners, Sequoia Capital India",Pre-Seed,2022-10-16,1.07296
NimbusLabs,AgriTech,Marketplace,Kolkata,Omidyar Network,Series A,2022-06-23,10.57632
MediHive,Mobility,EV,Ahmedabad,Tiger Global,Series A,2024-08-06,18.97798
GreenConnect,SaaS,B2B SaaS,Delhi,"Elevation Capital, Zodius Capital",Series D,2023-09-28,2475.62528
Unacademy,FinTech,Payments,Chennai,"Elevation Capital, Kedaara Capital, Prosus Ventures",Debt,2020-11-26,249.7506
EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,2020-07-09,0.22034
QuantumAnalytics,Retail,Grocery,Noida,Nexus Venture Partners,Seed,2022-08-22,3.41048
SkillSolutions,FoodTech,Grocery,Gurugram,Accel,Series B,2023-06-07,64.4734
Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,2023-12-18,0.18202
FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,2023-06-12,0.2395
Chargebee,Consumer Electronics,Audio,Ahmedabad,Sequoia Capital India,Seed,2021-08-17,1.16876
GrowthFlow,Retail,E-Retail,Gurugram,"Tiger Global, Y Combinator",Series C,2022-04-29,397.2347
Meesho,FinTech,Lending,Hyderabad,Elevation Capital,Seed,2020-05-18,1.92558
AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,2023-03-11,1.0059
CloudLabs,SaaS,MarTech,Kolkata,Mirae Asset,Series C,2023-08-15,458.34552
LogiRise,Mobility,EV,Kolkata,"A91 Partners, Falcon Edge, Tiger Global",Series C,2022-04-27,339.68764
HyperLabs,FinTech,Lending,Ahmedabad,Tiger Global,Series B,2024-06-25,118.76326
WorkPay,FinTech,WealthTech,Chennai,A91 Partners,Series A,2024-09-21,13.24914
UrbanDrive,E-commerce,D2C,Pune,"Accel, IFC",Series B,2021-07-10,565.76606
NimbusWorks,Logistics,Last Mile,Noida,Bessemer Venture Partners,Seed,2020-08-17,4.28226
CloudPay,Consumer Electronics,Smart Home,Bengaluru,"Blume Ventures, SoftBank Vision Fund",Series C,2025-01-27,1205.2598
AgriHive,Mobility,EV,Pune,Zodius Capital,Seed,2024-11-20,8.80402
LogiSense,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,2022-12-05,190.77612
FarmFit,AgriTech,Supply Chain,Pune,Falcon Edge,Series A,2020-04-04,12.1187
FreshTech,Retail,Grocery,Gurugram,Elevation Capital,Seed,2021-01-29,3.47754
FoodLoop,RealEstate,PropTech,Hyderabad,Sequoia Capital India,Seed,2021-07-14,4.17688
Zomato,EdTech,UpSkilling,Noida,"A91 Partners, Bessemer Venture Partners, Blume Ventures",Seed,2020-10-16,7.49156
FreshTech,SaaS,MarTech,Bengaluru,"Accel, Tiger Global, Y Combinator",Seed,2022-08-22,2.35668
DriveFit,AgriTech,Marketplace,Kolkata,Zodius Capital,Series A,2021-10-01,13.53654
HealthRise,Retail,Grocery,Ahmedabad,"Info Edge, Mirae Asset, Prosus Ventures",Seed,2024-07-22,1.36036
InMobi,Consumer Electronics,Audio,Gurugram,"Matrix Partners India, Y Combinator",Seed,2025-01-08,1.82978
BlueTech,RealEstate,Home Services,Pune,Mirae Asset,Series A,2020-03-02,55.085
NextFlow,Enterprise,Analytics,Hyderabad,"Accel, Nexus Venture Partners",Series C,2023-05-22,898.8435
AeroStack,RealEstate,PropTech,Hyderabad,"Kalaari Capital, Ribbit Capital",Series A,2022-03-31,25.12834
NextSense,FoodTech,Cloud Kitchen,Pune,"Info Edge, Tiger Global Management",Seed,2023-11-22,18.23074
DataHive,EdTech,K12,Mumbai,"Accel, Zodius Capital",Series B,2023-12-28,256.89728
SmartMart,E-commerce,Fashion,Delhi,Omidyar Network,Seed,2022-04-11,1.1496
QuantumAnalytics,RealEstate,Rental Tech,Bengaluru,LCatterton,Seed,2024-07-31,0.69934
Rapido,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital",Series A,2021-08-19,14.49454
CoreFlow,SaaS,HRTech,Ahmedabad,LCatterton,Series C,2023-10-23,372.95898
DriveEdge,SaaS,B2B SaaS,Ahmedabad,IFC,Pre-Seed,2022-11-11,0.27782
HealthWorks,Mobility,Ride Sharing,Bengaluru,Accel,Series B,2024-08-07,80.34746
HealthAnalytics,EdTech,Coding Bootcamp,Ahmedabad,"A91 Partners, Y Combinator",Pre-Series A,2021-10-13,1.84894
NoBroker,Consumer Electronics,Audio,Gurugram,Zodius Capital,Series A,2024-09-23,15.31842
HyperLoop,Enterprise,Automation,Delhi,"Kedaara Capital, Mirae Asset, Sequoia Capital India",Seed,2020-05-26,13.09586
DriveEdge,HealthTech,Telemedicine,Delhi,"Kedaara Capital, LCatterton",Series B,2022-05-01,59.83668
Innovaccer,AgriTech,Supply Chain,Kolkata,"Kalaari Capital, Lightspeed India",Series A,2023-02-04,39.65162
Innovaccer,AgriTech,Supply Chain,Ahmedabad,Kedaara Capital,Series A,2024-02-05,29.11362
NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,2020-03-18,1.83936
AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,2024-03-17,1.92558
HealthRise,AgriTech,Supply Chain,Gurugram,"Accel, Peak XV, Ribbit Capital",Series A,2024-02-27,28.13646
FreshTech,SaaS,B2B SaaS,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,2025-01-29,132.2998
AgriFit,Retail,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Seed,2023-11-24,11.66844
Swiggy,FinTech,InsurTech,Ahmedabad,"Ribbit Capital, Tiger Global Management, Zodius Capital",Seed,2020-04-15,9.76202
SmartTech,HealthTech,Telemedicine,Hyderabad,Elevation Capital,Seed,2023-06-15,1.23582
CloudSolutions,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,2024-02-22,0.07664
Nykaa,Retail,E-Retail,Hyderabad,"Blume Ventures, Falcon Edge",Series C,2021-04-28,1171.60526
GreenMart,E-commerce,Marketplace,Ahmedabad,"Kalaari Capital, Ventures India",Angel,2020-11-11,0.77598
AeroHub,Consumer Electronics,Smart Home,Delhi,Tiger Global,Seed,2024-02-12,3.7362
CureFit,Retail,E-Retail,Bengaluru,"Elevation Capital, Ventures India",Seed,2022-03-27,3.94696
PharmEasy,FoodTech,Grocery,Chennai,"IFC, Sequoia Capital India",Series A,2020-10-24,20.44372
EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,2023-07-29,0.479
Paytm,AgriTech,Marketplace,Hyderabad,Matrix Partners India,Seed,2021-06-30,0.958
DriveFit,RealEstate,Rental Tech,Gurugram,Falcon Edge,Series B,2023-04-20,117.50828
BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,2020-07-19,0.50774
HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,2020-07-07,0.61312
GreenEdge,RealEstate,PropTech,Mumbai,Y Combinator,Seed,2023-05-23,1.16876
DataEdge,Media,Social,Hyderabad,Ribbit Capital,Seed,2023-09-14,0.72808
SkillSolutions,Media,Streaming,Pune,Elevation Capital,Seed,2024-05-17,4.56008
HealthWorks,SaaS,B2B SaaS,Hyderabad,Info Edge,Bridge,2021-06-26,1.3891
NeoLabs,EdTech,Coding Bootcamp,Delhi,A91 Partners,Series B,2020-08-10,239.99816
Paytm,EdTech,Test Prep,Kolkata,Tiger Global,Series B,2020-07-30,73.48818
AutoStack,FinTech,InsurTech,Delhi,Prosus Ventures,Series B,2020-01-02,181.83798
NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,2023-12-20,0.65144
CRED,Mobility,Ride Sharing,Bengaluru,"Falcon Edge, Nexus Venture Partners",Pre-Series A,2023-11-12,1.08254
Licious,SaaS,HRTech,Chennai,"Accel, Falcon Edge, Peak XV",Seed,2025-05-17,1.65734
HealthRise,Retail,Grocery,Gurugram,"Elevation Capital, Prosus Ventures",Seed,2020-03-21,0.78556
UrbanDrive,RealEstate,Rental Tech,Pune,"Blume Ventures, Info Edge, Sequoia Capital India",Series A,2024-12-17,11.37146
GrowthFlow,AgriTech,Supply Chain,Kolkata,"Mirae Asset, Ribbit Capital",Pre-Series A,2024-06-11,9.35966
EduBox,FinTech,Payments,Pune,"Bessemer Venture Partners, Nexus Venture Partners, Tiger Global",Seed,2024-06-01,1.57112
LogiRise,Enterprise,Automation,Delhi,Sequoia Capital India,Series B,2021-04-22,452.39634
SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,2023-12-07,0.34488
BigBasket,Enterprise,Analytics,Kolkata,"Tiger Global, Zodius Capital",Series A,2024-09-06,60.66056
Porter,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Seed,2024-07-05,7.91308
FoodFit,RealEstate,Rental Tech,Noida,Ventures India,Seed,2024-09-09,4.311
NoBroker,SaaS,B2B SaaS,Mumbai,"Blume Ventures, Y Combinator",Seed,2024-03-31,2.7303
Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,2020-07-23,0.49816
Myntra,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, LCatterton, Ribbit Capital",Seed,2020-07-01,1.73398
FarmBox,EdTech,K12,Hyderabad,Peak XV,Series A,2022-04-23,118.73452
GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,2023-07-08,10.26018
MediHive,EdTech,Test Prep,Noida,IFC,Bridge,2023-06-21,16.84164
ClearDekho,EdTech,Coding Bootcamp,Gurugram,Bessemer Venture Partners,Seed,2021-01-31,0.75682
FarmBox,HealthTech,Telemedicine,Bengaluru,Info Edge,Series B,2021-08-06,363.39814
WorkStack,Retail,Grocery,Bengaluru,"Bessemer Venture Partners, Blume Ventures",Seed,2020-04-17,15.26094
Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,2024-01-17,0.08622
BlueRise,SaaS,DevTools,Mumbai,Ventures India,Seed,2020-07-19,0.61312
CloudPay,EdTech,Test Prep,Kolkata,"Nexus Venture Partners, Peak XV",Series A,2020-04-21,71.28478
AutoFlow,SaaS,DevTools,Kolkata,Tiger Global Management,Series B,2023-07-18,235.54346
CloudPay,FinTech,NeoBank,Bengaluru,"Blume Ventures, Info Edge",Seed,2020-08-15,10.69128
DataHive,Logistics,Fleet Management,Delhi,"LCatterton, Omidyar Network",Series C,2023-07-30,279.75516
HomeFoods,Enterprise,Automation,Kolkata,Mirae Asset,Growth,2021-03-19,3906.73358
UrbanStack,Media,Social,Gurugram,LCatterton,Seed,2023-04-01,1.0059
WorkPay,FinTech,InsurTech,Bengaluru,"Falcon Edge, Sequoia Capital India, Ventures India",Pre-Seed,2022-08-21,0.27782
GrowthCare,Media,Social,Kolkata,"Kedaara Capital, Ventures India",Series A,2020-06-19,14.9448
Freshworks,EdTech,K12,Pune,Sequoia Capital India,Seed,2023-08-19,9.66622
BigBasket,HealthTech,Health Analytics,Ahmedabad,"Mirae Asset, Nexus Venture Partners",Series B,2020-02-19,302.91002
CoreConnect,Enterprise,Security,Kolkata,"LCatterton, SoftBank Vision Fund, Tiger Global",Series B,2020-01-03,204.25518
GreenMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,2024-06-15,25.31994
HealthRise,SaaS,B2B SaaS,Noida,LCatterton,Bridge,2023-10-13,12.17618
FreshToHome,FoodTech,Food Delivery,Kolkata,Blume Ventures,Series A,2022-01-18,27.72452
CRED,Mobility,Micro Mobility,Gurugram,A91 Partners,Seed,2021-11-16,9.74286
GrowthCare,Retail,Fashion,Gurugram,SoftBank Vision Fund,Series C,2024-04-07,629.30062
NextStack,FoodTech,Food Delivery,Bengaluru,"Falcon Edge, Mirae Asset",Seed,2021-12-08,1.92558
NeoTech,Mobility,Micro Mobility,Noida,"Prosus Ventures, Y Combinator",Angel,2022-07-14,0.1916
Byju's,EdTech,Coding Bootcamp,Mumbai,Elevation Capital,Seed,2025-01-12,1.45616
Dunzo,E-commerce,Marketplace,Hyderabad,"Lightspeed India, Nexus Venture Partners",Seed,2020-10-30,7.54904
DataAnalytics,RealEstate,Rental Tech,Delhi,"Sequoia Capital India, Ventures India",Series A,2022-05-10,37.38116
FinFoods,Enterprise,Analytics,Noida,"Ribbit Capital, SoftBank Vision Fund",Series B,2022-04-23,91.19202
NeoSense,RealEstate,Rental Tech,Noida,"Elevation Capital, Nexus Venture Partners",Series D,2022-06-30,3801.1045
BigBasket,HealthTech,Pharmacy,Gurugram,Bessemer Venture Partners,Series A,2025-06-11,27.09224
Postman,HealthTech,Pharmacy,Hyderabad,"Kedaara Capital, Peak XV",Series A,2020-12-06,41.74964
SmartTech,HealthTech,Diagnostics,Delhi,A91 Partners,Seed,2020-03-25,13.56528
Dailyhunt,Logistics,Supply Chain,Delhi,Prosus Ventures,Seed,2023-12-19,4.79
FoodSolutions,Consumer Electronics,Smart Home,Delhi,Kalaari Capital,Series A,2020-09-05,13.14376
Chargebee,Retail,E-Retail,Kolkata,Tiger Global Management,Angel,2020-11-15,0.80472
ClearDekho,SaaS,HRTech,Kolkata,"Bessemer Venture Partners, Prosus Ventures",Angel,2025-06-08,0.31614
Ola,SaaS,B2B SaaS,Kolkata,"A91 Partners, Kalaari Capital, SoftBank Vision Fund",Angel,2020-10-12,0.13412
HomeAnalytics,E-commerce,D2C,Bengaluru,"Bessemer Venture Partners, Falcon Edge",Series A,2021-02-03,13.96764
QuantumSolutions,E-commerce,Grocery,Kolkata,Tiger Global Management,Series B,2025-05-15,432.94894
DriveFit,SaaS,B2B SaaS,Pune,Y Combinator,Pre-Series A,2024-01-06,3.99486
HealthAnalytics,Logistics,Supply Chain,Noida,"Kalaari Capital, Ventures India",Seed,2024-01-30,3.42964
Ola,Logistics,Last Mile,Chennai,Zodius Capital,Series B,2022-04-28,571.07338
Unacademy,HealthTech,Diagnostics,Hyderabad,"Tiger Global, Tiger Global Management",Series A,2024-11-11,81.06596
UrbanSolutions,FoodTech,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Pre-Series A,2023-02-12,1.36036
FinSense,Enterprise,Security,Hyderabad,Zodius Capital,Series A,2020-03-27,22.28308
Oyo,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,2024-06-08,1.1975
Delhivery,RealEstate,Rental Tech,Kolkata,Kalaari Capital,Seed,2023-09-25,7.45324
NeoLabs,RealEstate,PropTech,Bengaluru,"Tiger Global, Tiger Global Management",Seed,2021-07-21,0.54606
ShareChat,AgriTech,Smart Farming,Ahmedabad,"Prosus Ventures, Tiger Global Management, Zodius Capital",Series A,2021-06-12,44.8344
NimbusWorks,AgriTech,Supply Chain,Hyderabad,SoftBank Vision Fund,Seed,2020-04-29,7.98014
HyperSpace,FinTech,WealthTech,Pune,Tiger Global,Pre-Series A,2025-02-10,7.21374
Cars24,Mobility,Micro Mobility,Mumbai,"Accel, Blume Ventures, Ventures India",Series A,2024-04-18,24.1895
AgriSense,Enterprise,Automation,Hyderabad,"Falcon Edge, Y Combinator",Seed,2023-11-30,9.90572
SmartCare,Mobility,EV,Pune,LCatterton,Series C,2022-04-23,258.52588
BharatPe,E-commerce,Marketplace,Delhi,Bessemer Venture Partners,Series A,2024-08-30,94.81326
Porter,FoodTech,Food Delivery,Mumbai,Mirae Asset,Seed,2020-09-25,0.7664
FreshTech,HealthTech,Health Analytics,Ahmedabad,Blume Ventures,Series A,2025-06-09,28.09814
Oyo,FinTech,Payments,Gurugram,Prosus Ventures,Seed,2023-11-22,9.07226
BigBasket,HealthTech,Diagnostics,Delhi,"Accel, Sequoia Capital India, Ventures India",Debt,2022-05-20,2.43332
AgriHive,FinTech,Lending,Mumbai,"Mirae Asset, Omidyar Network",Pre-Seed,2023-09-13,0.32572
AutoStack,Logistics,Fleet Management,Bengaluru,LCatterton,Series C,2024-05-21,1354.6599
